product_id,title,vendor,product_type,variant_id,sku,barcode,option1,option2,option3,price,compare_at_price,available,grams,image,images_count,published_at,url,tags
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575262359,,,36 x 32,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575295127,,,36 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575327895,,,36 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575360663,,,38 x 30,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575393431,,,38 x 32,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575426199,,,38 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575458967,,,38 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575491735,,,40 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575524503,,,40 x 32,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575557271,,,40 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575590039,,,40 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575622807,,,42 x 30,,,69.99,,True,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575655575,,,42 x 32,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575688343,,,42 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575721111,,,42 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575753879,,,44 x 30,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575786647,,,44 x 32,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575819415,,,44 x 34,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9675813650583,Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,48037575852183,,,44 x 36,,,69.99,,False,0,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,5,2026-07-24T18:37:08-07:00,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542551191,,,S,,,82.00,,True,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542583959,,,M,,,82.00,,False,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542616727,,,L,,,82.00,,False,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542649495,,,XL,,,82.00,,False,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542682263,,,2XL,,,82.00,,True,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
9486581366935,Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,46946542715031,,,3XL,,,82.00,,False,454,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,3,2026-07-23T13:12:13-07:00,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
